"3TTE","4","1","PR5","","Textiles Technology Level 3","13","NCEA Level 3","Technology","HHN","3","/ 4","2026TT","3TTE||4|1|0|HHN|PR5|3|4|||8|1|0|20|200001693"
"2BIO","6","1","TWM8","","Biology Level 2","12","NCEA Level 2","Science","HGS","25","/ 63","2026TT","2BIO||6|1|0|HGS|TWM8|25|63|||8|1|0||"
"3BIO","2","1","TWM8","","Biology Level 3","13","NCEA Level 3","Science","FRN","32","/ 72","2026TT","3BIO||2|1|0|FRN|TWM8|32|72|||8|1|0||"
"2ENP","6","1","SN8","","Practical English Level 2","12","NCEA Level 2","English","FNZ","19","/ 37","2026TT","2ENP||6|1|0|FNZ|SN8|19|37|||8|1|0||"
"2PHY","4","1","TWM4","","Physics Level 2","12","NCEA Level 2","Science","CRR","14","/ 14","2026TT","2PHY||4|1|0|CRR|TWM4|14|14|||8|1|0||"
"2CHE","6","1","TWM5","","Chemistry Level 2","12","NCEA Level 2","Science","CLS","25","/ 46","2026TT","2CHE||6|1|0|CLS|TWM5|25|46|||8|1|0||"
"3CHE","4","1","TWM12","","Chemistry Level 3","13","NCEA Level 3","Science","CLS","10","/ 32","2026TT","3CHE||4|1|0|CLS|TWM12|10|32|||8|1|0||"
"1REL","5","1","NC5","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","CHI","30","/ 136","2026TT","1REL||5|1|0|CHI|NC5|30|136|||8|1|0||"
"1REL","4","1","NC5","","Religious Education Level 1","11","Year 11 Diploma","Religious Education","CHI","21","/ 136","2026TT","1REL||4|1|0|CHI|NC5|21|136|||8|1|0||"
"2REL","3","1","NC5","","Religious Education Level 2","12","NCEA Level 2","Religious Education","CHI","16","/ 91","2026TT","2REL||3|1|0|CHI|NC5|16|91|||8|1|0||"
"3ARH","6","1","TWM18","","Art History Level 3","13","NCEA Level 3","Social Science","BGT","27","/ 46","2026TT","3ARH||6|1|0|BGT|TWM18|27|46|||8|1|0||"
"3ARH","4","1","TWM18","","Art History Level 3","13","NCEA Level 3","Social Science","BGT","19","/ 46","2026TT","3ARH||4|1|0|BGT|TWM18|19|46|||8|1|0||"
"2ARC","2","1","TWM18","","Art History and Classics Level 2","12","NCEA Level 2","Social Science","BGT","20","/ 20","2026TT","2ARC||2|1|0|BGT|TWM18|20|20|||8|1|0||"
"2DVC","5","1","PR8","","Design and Visual Communication Level 2","12","NCEA Level 2","Technology","AMS","8","/ 8","2026TT","2DVC||5|1|0|AMS|PR8|8|8|||8|1|0|11|200001775"
"3REL","6","1","TWM1","","Religious Education Level 3","13","NCEA Level 3","Religious Education","AKN","19","/ 116","2026TT","3REL||6|1|0|AKN|TWM1|19|116|||8|1|0||"
"2ARP","3","1","MN9","","Art Painting Level 2","12","NCEA Level 2","Art","ABY","26","/ 26","2026TT","2ARP||3|1|0|ABY|MN9|26|26|||8|1|0||"
"3CLA","3","1","SN9","","Classics Level 3","13","NCEA Level 3","Social Science","MKI","15","/ 31","2026TT","3CLA||3|1|0|MKI|SN9|15|31|||8|1|0||"
